study_id,esvd2_0_biome,esvd2_0_ecozones,esvd2_0_ecosystems,es_1,countries,continent,scale_of_site,protection_status,site_area_in_hectares,ecosystem_condition,latitude,longitude,valuation_methods,value_year,beneficiary_unit,number_of_beneficiaries,int_per_hectare_per_year,year_pub
1537,Coastal systems,Shorelines,Sandy shorelines,Erosion prevention,Colombia,South America,Local,Protected,6500000,NA,13.21,-81.22,CV,2011,total,400000,22.03,2015
1537,Coastal systems,Shorelines,Sandy shorelines,Opportunities for recreation and tourism,Colombia,South America,Local,Protected,6500000,NA,13.21,-81.22,CV,2011,total,400000,0.3,2015
1536,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Jamaica,North America,National,Protected,912800,NA,18.1667,-77.4,CV,2000,total,493,0,2000
1536,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Jamaica,North America,National,Protected,912800,NA,18.1667,-77.4,CV,2000,total,565,0,2000
1527,Marine,Shelf sea,Coral reefs,Information for cognitive development,Curaçao,North America,National,Partially protected,785,NA,12.1696,-68.99,MP,2015,total,225,787.2800000000001,2016
1527,Coastal systems,Coastal wetlands and river deltas,Mangroves,Information for cognitive development,Curaçao,North America,National,Partially protected,55,NA,12.1696,-68.99,MP,2015,total,225,660.97,2016
1527,Marine,Shelf sea,Seagrass meadows,Information for cognitive development,Curaçao,North America,National,Partially protected,8,NA,12.1696,-68.99,MP,2015,total,225,9088.4,2016
1526,Coastal systems,Shorelines,Sandy shorelines,Erosion prevention,Colombia,South America,Local,No protection,5.6,NA,10.9485,-75.0371,RC,2020,total,NA,24049442.3,2020
1521,Coastal systems,Shorelines,Sandy shorelines,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,546,NA,12.1165,-61.679,CE,2019,tourists,500000,28233.260000000002,2024
1521,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,15500,NA,12.1165,-61.679,CE,2019,tourists,500000,1862.8899999999999,2024
1521,Tropical and subtropical forests,Tropical and subtropical rainforest,Tropical rainforest,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,5696,NA,12.1165,-61.679,CE,2019,tourists,500000,3237.53,2024
1521,Tropical and subtropical forests,Tropical and subtropical rainforest,Tropical rainforest,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,5696,NA,12.1165,-61.679,CE,2019,tourists,500000,3604.73,2024
1521,Coastal systems,Coastal wetlands and river deltas,Mangroves,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,181,NA,12.1165,-61.679,CE,2019,tourists,500000,94297.57,2024
1521,Coastal systems,Coastal wetlands and river deltas,Mangroves,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,181,NA,12.1165,-61.679,CE,2019,tourists,500000,101619.08,2024
1521,Coastal systems,Shorelines,Sandy shorelines,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,546,NA,12.1165,-61.679,CE,2019,tourists,500000,30090.129999999997,2024
1521,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Grenada,North America,Sub-national,Partially protected,15500,NA,12.1165,-61.679,CE,2019,tourists,500000,2684.9,2024
1520,Tropical and subtropical forests,Tropical and subtropical rainforest,Subtropical humid forest,Raw materials,Guatemala,North America,Local,Protected,6500,NA,17.1667,-89.9333,Multimetodologia,2000,total,NA,666.21,2000
1520,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Nicaragua,North America,Local,Protected,8700,NA,12.7833,-87.4833,Multimetodologia,2000,total,33300,754.8399999999999,2000
1520,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Nicaragua,North America,Local,Protected,8700,NA,12.7833,-87.4833,MP,2000,total,33300,183.31,2000
1520,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Nicaragua,North America,Local,Protected,8700,NA,12.7833,-87.4833,MP,2000,total,33300,277.95,2000
1520,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Nicaragua,North America,Local,Protected,8700,NA,12.7833,-87.4833,MP,2000,total,33300,57.290000000000006,2000
1520,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Nicaragua,North America,Local,Protected,8700,NA,12.7833,-87.4833,Multimetodologia,2000,total,33300,940.75,2000
1520,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Nicaragua,North America,Local,Protected,8700,NA,12.7833,-87.4833,Multimetodologia,2000,total,33300,490.90999999999997,2000
1516,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Indonesia,Asia,Local,NA,37.54,NA,-2.53371,140.71813,CV,2018,total,NA,155.22,2020
1516,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Indonesia,Asia,Local,NA,37.54,NA,-2.53371,140.71813,MP,2018,total,NA,1015.61,2020
1516,Marine,Shelf sea,Coral reefs,Food,Indonesia,Asia,Local,NA,37.54,NA,-2.53371,140.71813,MP,2018,total,NA,12988.240000000002,2020
1516,Marine,Shelf sea,Seagrass meadows,Food,Indonesia,Asia,Local,NA,110.83,NA,-2.53371,140.71813,MP,2018,total,NA,5338.99,2020
1516,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Indonesia,Asia,Local,NA,37.54,NA,-2.53371,140.71813,CV,2018,total,NA,1400.3799999999999,2020
1516,Marine,Shelf sea,Seagrass meadows,Food,Indonesia,Asia,Local,NA,110.83,NA,-2.53371,140.71813,MP,2018,total,NA,1689.09,2020
1516,Marine,Shelf sea,Seagrass meadows,Food,Indonesia,Asia,Local,NA,110.83,NA,-2.53371,140.71813,MP,2018,total,NA,2537.46,2020
